website,link,header,time,year,month,day,hour,minute,second
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 9:53:50 PM EDT",2018,9,18,21,53,50
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 8:56:00 PM EDT",2018,9,18,20,56,0
WhatsApp Messenger,https://play.google.com/store/apps/details?id=com.whatsapp,WhatsApp Messenger,"Sep 18, 2018, 8:51:59 PM EDT",2018,9,18,20,51,59
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 18, 2018, 8:51:36 PM EDT",2018,9,18,20,51,36
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 18, 2018, 8:49:42 PM EDT",2018,9,18,20,49,42
com.android.wifisettings,,com.android.wifisettings,"Sep 18, 2018, 8:45:49 PM EDT",2018,9,18,20,45,49
Pokémon GO,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo,Pokémon GO,"Sep 18, 2018, 8:44:17 PM EDT",2018,9,18,20,44,17
com.android.packageinstaller,,com.android.packageinstaller,"Sep 18, 2018, 8:13:49 PM EDT",2018,9,18,20,13,49
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 8:09:28 PM EDT",2018,9,18,20,9,28
com.bbk.appstore,,com.bbk.appstor,"Sep 18, 2018, 8:09:26 PM EDT",2018,9,18,20,9,26
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 6:11:00 PM EDT",2018,9,18,18,11,0
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 6:02:30 PM EDT",2018,9,18,18,2,30
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 18, 2018, 5:58:49 PM EDT",2018,9,18,17,58,49
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 18, 2018, 5:52:50 PM EDT",2018,9,18,17,52,50
com.vivo.gallery,,com.vivo.gallery,"Sep 18, 2018, 5:48:41 PM EDT",2018,9,18,17,48,41
WhatsApp Messenger,https://play.google.com/store/apps/details?id=com.whatsapp,WhatsApp Messenger,"Sep 18, 2018, 5:48:09 PM EDT",2018,9,18,17,48,9
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 5:47:00 PM EDT",2018,9,18,17,47,0
QQmail,https://play.google.com/store/apps/details?id=com.tencent.androidqqmail,QQmail,"Sep 18, 2018, 5:15:47 PM EDT",2018,9,18,17,15,47
ZAKER-扎客新闻,https://play.google.com/store/apps/details?id=com.myzaker.ZAKER_Phone,ZAKER-扎客新闻,"Sep 18, 2018, 5:15:04 PM EDT",2018,9,18,17,15,4
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 18, 2018, 5:14:41 PM EDT",2018,9,18,17,14,41
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 4:33:21 PM EDT",2018,9,18,16,33,21
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 4:32:41 PM EDT",2018,9,18,16,32,41
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 3:47:43 PM EDT",2018,9,18,15,47,43
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 3:47:13 PM EDT",2018,9,18,15,47,13
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 2:57:23 PM EDT",2018,9,18,14,57,23
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 2:47:02 PM EDT",2018,9,18,14,47,2
QQmail,https://play.google.com/store/apps/details?id=com.tencent.androidqqmail,QQmail,"Sep 18, 2018, 2:42:44 PM EDT",2018,9,18,14,42,44
com.android.BBKClock,,com.android.BBKClock,"Sep 18, 2018, 2:40:02 PM EDT",2018,9,18,14,40,2
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 2:31:14 PM EDT",2018,9,18,14,31,14
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 18, 2018, 1:48:55 PM EDT",2018,9,18,13,48,55
com.bbk.launcher2,,com.bbk.launcher,"Sep 18, 2018, 1:34:45 PM EDT",2018,9,18,13,34,45
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 1:34:20 PM EDT",2018,9,18,13,34,20
鲨鱼记账-记账必备精品·3秒钟快速记账,https://play.google.com/store/apps/details?id=com.shark.jizhang,鲨鱼记账-记账必备精品·3秒钟快速记账,"Sep 18, 2018, 1:33:05 PM EDT",2018,9,18,13,33,5
com.ifeng.news2,,com.ifeng.news,"Sep 18, 2018, 12:55:12 PM EDT",2018,9,18,24,55,12
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 12:39:00 PM EDT",2018,9,18,24,39,0
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 18, 2018, 12:02:44 PM EDT",2018,9,18,24,2,44
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 18, 2018, 12:02:06 PM EDT",2018,9,18,24,2,6
NYTimes - Latest News,https://play.google.com/store/apps/details?id=com.nytimes.android,NYTimes - Latest News,"Sep 18, 2018, 11:52:09 AM EDT",2018,9,18,11,52,9
com.vivo.browser,,com.vivo.browser,"Sep 18, 2018, 11:25:19 AM EDT",2018,9,18,11,25,19
Xiami Music,https://play.google.com/store/apps/details?id=fm.xiami.main,Xiami Music,"Sep 18, 2018, 11:24:41 AM EDT",2018,9,18,11,24,41
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 18, 2018, 11:24:25 AM EDT",2018,9,18,11,24,25
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 18, 2018, 11:21:57 AM EDT",2018,9,18,11,21,57
Bank of America Mobile Banking,https://play.google.com/store/apps/details?id=com.infonow.bofa,Bank of America Mobile Banking,"Sep 18, 2018, 11:08:02 AM EDT",2018,9,18,11,8,2
WhatsApp Messenger,https://play.google.com/store/apps/details?id=com.whatsapp,WhatsApp Messenger,"Sep 18, 2018, 11:07:38 AM EDT",2018,9,18,11,7,38
"Stocks, Forex, Finance, Markets: Portfolio & News",https://www.google.com/url?q=http://cn.investing.com/indices/szse-component-overview&usg=AFQjCNGQ8hrLbCfdG-FYQpge8w59RkBxMw,深证成份指数指数价格,"Sep 18, 2018, 11:05:25 AM EDT",2018,9,18,11,5,25
"Stocks, Forex, Finance, Markets: Portfolio & News",https://www.google.com/url?q=http://cn.investing.com/indices/szse-component-technical&usg=AFQjCNEkRNJ0x0A6aW5Ip6rPaLw8NMDFRg,深证成份指数技术分析,"Sep 18, 2018, 11:05:25 AM EDT",2018,9,18,11,5,25
